participant_id,group,from,to,time_ms,from_category,to_category,from_fallacy_type,to_fallacy_type,from_element_type,to_element_type
participant_1773700277754,treatment,1-news-sentence-0,news-content-0,29,article_text,paragraph,WW,,sentence,other
participant_1773700277754,treatment,news-content-0,1-news-sentence-0,30,paragraph,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,65,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,5-news-sentence-1,29,article_text,article_text,,BBS,sentence,sentence
participant_1773700277754,treatment,5-news-sentence-1,news-content-1,283,article_text,paragraph,BBS,,sentence,other
participant_1773700277754,treatment,news-content-1,1-news-sentence-0,33,paragraph,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,5-news-sentence-1,127,article_text,article_text,WW,BBS,sentence,sentence
participant_1773700277754,treatment,5-news-sentence-1,1-news-sentence-0,392,article_text,article_text,BBS,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),13,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),2-news-sentence-1,95,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,2-news-sentence-1,1-news-sentence-1,64,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-1,(none),93,article_text,other,BBS,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-1,641,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,1-news-sentence-1,(none),63,article_text,other,BBS,,sentence,other
participant_1773700277754,treatment,(none),2-news-sentence-1,863,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,2-news-sentence-1,1-news-sentence-1,31,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-1,2-news-sentence-1,92,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,2-news-sentence-1,3-news-sentence-1,37,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,3-news-sentence-1,5-news-sentence-1,24,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,5-news-sentence-1,3-news-sentence-1,32,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,3-news-sentence-1,1-news-sentence-0,30,article_text,article_text,BBS,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,32,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,35,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),29,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,31,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,63,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,31,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),93,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,33,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,1-news-sentence-3,94,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-3,title,246,article_text,title,,,sentence,other
participant_1773700277754,treatment,title,(none),127,title,other,,,other,other
participant_1773700277754,treatment,(none),title,61,other,title,,,other,other
participant_1773700277754,treatment,title,(none),94,title,other,,,other,other
participant_1773700277754,treatment,(none),title,31,other,title,,,other,other
participant_1773700277754,treatment,title,0-news-sentence-0,96,title,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),29,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),2-news-sentence-1,30,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,2-news-sentence-1,7-news-sentence-1,35,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,7-news-sentence-1,5-news-sentence-1,58,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,5-news-sentence-1,(none),62,article_text,other,BBS,,sentence,other
participant_1773700277754,treatment,(none),5-news-sentence-1,32,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,5-news-sentence-1,(none),32,article_text,other,BBS,,sentence,other
participant_1773700277754,treatment,(none),6-news-sentence-1,31,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,6-news-sentence-1,0-news-sentence-2,32,article_text,article_text,BBS,,sentence,sentence
